state,sun_hours,clear_skies_days,sun_efficacy_%,precipitation_mm,snowy_days,snow_amount_cm,humidity_morning_%,humidity_afternoon_%,mean_temperature_F,population,income_per_capita_$,mean_salary_$,mean_home_price_$,mean_elevation_ft,max_elevation_ft,min_elevation_ft,stem_tech_score,homicide_rate,population_change_%,us_population_%,population_density_m2,white_%,black_%,asian_%,obesity_%,men_to_women_ratio,has_recreational_weed?,religious_%,happiness_score,internet_speed,internet_coverage_%,iq,suicide_rates,tornadoes,voter_turnout_%,has_alligators?,touches_water?
Alabama,2641,99,58,1480,1,4,84,52,62.8,5024279,42328,51313,138975,500,2405,0,45,8,3,1,97,68,27,1,36,94,0,77,39,112,72,96,16,44,68,1,1
Alaska,2061,61,41,572,48,189,77,64,26.6,733391,59871,64844,300889,1900,20320,0,41,8,1,0,1,65,3,6,31,109,1,45,38,59,61,99,29,0,74,0,1
Arizona,3806,193,85,345,0,1,53,25,60.3,7151502,44071,59370,268765,4100,12633,70,58,6,17,2,66,77,5,3,31,99,1,53,53,149,74,97,19,5,76,0,0
Arkansas,2771,123,61,1284,4,13,85,49,60.4,3011524,43446,49011,128101,650,2753,55,25,9,4,1,58,77,15,2,37,96,0,70,37,104,54,98,18,39,62,0,0
California,3055,146,68,563,0,0,76,62,59.4,39538223,61663,79368,554886,2900,14494,-2822,80,5,6,12,254,60,6,14,26,99,1,49,63,93,94,96,11,11,69,0,1
Colorado,3204,136,71,405,19,49,60,35,45.1,5773714,58267,67285,397820,6800,14433,3350,82,4,17,2,57,84,4,3,24,101,1,47,55,169,86,102,22,53,71,0,0
Connecticut,2585,82,56,1279,20,103,79,52,49,3605944,73929,73783,255555,500,2380,0,64,3,-1,1,734,76,11,5,29,95,1,43,58,172,98,103,11,2,73,0,1
Delaware,2582,97,57,1160,12,51,79,54,55.3,989948,53062,61689,254108,60,448,0,66,6,10,0,508,69,22,4,34,94,1,52,52,140,95,100,11,1,75,0,1
Florida,2927,101,66,1385,0,0,87,57,70.7,21538187,51150,57360,245169,100,345,0,42,5,16,7,409,75,16,3,27,96,0,54,51,168,92,98,15,66,67,1,1
Georgia,2986,112,66,1287,1,2,86,50,63.5,10711908,46882,59735,201294,600,4784,0,54,7,12,3,188,59,32,4,33,95,0,66,55,151,85,98,15,30,71,1,1
Hawaii,-1,90,71,1618,0,0,71,56,70,1455271,53534,58281,636451,3030,13796,0,40,3,3,0,219,25,2,38,25,101,1,47,68,103,92,96,16,1,69,0,1
Idaho,2993,120,64,481,19,49,68,41,44.4,1839106,43766,48224,285982,5000,12662,710,49,2,18,1,23,90,1,1,30,101,0,51,63,89,70,101,20,5,69,0,0
Illinois,2567,95,56,996,20,63,83,58,51.8,12812508,57240,67399,202675,600,1235,279,56,8,-2,4,226,72,14,5,32,97,1,51,52,171,89,100,11,54,74,0,1
Indiana,2440,88,55,1060,24,66,83,58,51.7,6785528,47292,52635,155640,700,1257,320,48,6,5,2,190,83,9,2,35,97,0,54,50,134,80,102,14,22,69,0,1
Iowa,2691,105,59,864,26,89,78,56,47.8,3190369,49548,50963,152885,1100,1670,480,42,3,4,1,57,90,4,2,34,99,0,55,61,79,81,103,17,51,76,0,0
